Marca	Modelo	Nombre	Serial	Año Adquisición	Sección	Abreviado	Grupo	Sub Grupo	Denominación	Numero Catalogo	Numero Articulo	Verificación	Limpieza	Ajuste	Lubricación	Cambio	Fecha Ajuste	Fecha Lubricación/Limpieza	Fecha Cambio	Fecha Hora Inicial	Fecha Hora Final
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	UNIDAD TESTERA	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 1-6	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 7-12	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 13-18	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 19-22	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 25-30	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	100	-	PUNTO DE LUBRICACIÓN 31-34	-	-										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	120	-	CORREA PLANA 25X133400 (LD)	120067	10522117										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	120	-	POLEA DE CORREA PLANA D165	120032	10226586										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	120	-	CORREA PLANA 25X133400 (LI)	120067	10522117										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	120	-	POLEA DE CORREA PLANA D140	120027	10226604										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	120	-	POLEA DE CORREA PLANA D165	120032	10226586										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	125	-	CORREA PLANA 25X137275 (LD)	125038	10522119										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	125	-	POLEA DE CORREA PLANA D165	120032	10226586										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	125	-	CORREA PLANA 25X137275 (LI)	125038	10522119										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	125	-	POLEA DE CORREA PLANA D165	120032	10226586										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	PALANCA TENSORA (LD)	130009	10226528										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	PALANCA TENSORA (LI)	130009	10226528										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	CORREA DENTADA 1728/M1832	130025	10578147										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	PALANCA TENSORA COMPLETA	130029	10226886										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	CORREA DENTADA LW1440 T8 B30 (LD)	130031	1077484										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	CORREA DENTADA LW1440 T8 B30 (LI)	130031	1077484										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	ARBOL DE RODILLO DE SALIDA R60	130032	10676805										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	COJINETE BRIDA IZQUIERDO	130039	10384956										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	ARBOL DE MANDO DE DESARROLLO (LD)	130060	10536521										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	ARBOL DE MANDO DE DESARROLLO (LI)	130060	10536521										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	130	-	COJINETE BRIDA DERECHO	130067	10384958										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	ENGRANAJE ARBOL DE CILINDRO BOBINADOR	135002	10510310										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	CORREA DENTADA M1264 (LD)	135004	10140610										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	CORREA DENTADA M1264 (LI)	135004	10140610										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	BRIDA DE COJ. ARBOL DE CIL. BOBI (LD)	135005	10226675										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	BRIDA DE COJ. ARBOL DE CIL. BOBI (LI)	135005	10226675										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	PALANCA TENSORA (LD)	135049	10226551										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	PALANCA TENSORA (LI)	135049	10226551										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	PALANCA TENSORA	135065	10431023										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	135	-	CORREA DENTADA M1600	135069	10452909										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14010	UNIDAD DE COJINETE	14010008	10245369										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14010	CORREA DENTADA M1800	14010010	10494028										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14010	ARBOL	14010011	10226059										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14010	CORREA DENTADA M760	14010034	10258634										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14010	CORREA DENTADA M1440	14010045	10494024										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14030	AMORTIGUADOR 8,3/20X25	14010049	10424643										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14030	CORREA DENTADA 5M575	14030077	10313361										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14030	ENGRANAJE DE DESPLAZ. DE HILO (LD)	14030095	10568546										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14030	ENGRANAJE DE DESPLAZ. DE HILO (LI)	14030095	10568546										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	140	14030	VALVULA NEUMATICA M.KUPPLUNG	14030114	160877										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	150	-	ENGRANAJE DE CICLO	150026	10134535										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	150	-	CINTA DE TRACCION KOMBIL 1324	150034	10097157										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	150	-	CORREA DENTADA 20X675	150044	10682035										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	155	15510	UNIDAD TENSORA	15510001	10557808										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	155	15510	CINTA DE TRANSPORTE 130X136450 (LD)	15510043	10555610										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	155	15510	CINTA DE TRANSPORTE 130X136451 (LI)	15510043	10555610										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	155	15520	BOQUILLA DE ASPIRACIÓN SUPERIOR (LD)	15520001	10453962										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	155	15520	BOQUILLA DE ASPIRACIÓN SUPERIOR (LI)	15520001	10453962										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	165	-	SISTEMA DE RIELES	165001	10677947										
RIETER	R-60	50409	40015936-00027	2011	UNIDAD TESTERA	TESTERA	180	18010	SISTEMA CARGADOR DE TUBOS	18010001	10448204										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	200	-	UNIDAD BASTIDOR FINAL	-	-										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21510	VENTILADOR SUPERIOR	21510001	10588096										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21510	TUBO LW 360X2X120	21510029	10072189										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21530	TUBO LW 332X2X80	21530012	10475805										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21550	INJERTO DEL FILTRO	21550026	10438012										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21550	CIL. NEUMÁTICO COMPLETO 50/320	21550035	10483188										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21560	CORREA PLANA 20X655	21560037	10237585										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21560	TAPA DE AIRE INFILTRADO COMPLETO	21560047	10653523										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	215	21560	CILINDRO NEUMATICO	21560049	10257127										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	220	-	POLEA DE CORREA PLANA D165 (LD)	220032	10226586										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	220	-	POLEA DE CORREA PLANA D165 (LI)	220032	10226586										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	220	-	POLEA DE CORREA PLANA D140	220027	10226604										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23610	CORREA DENTADA 8M LW 1040	23610052	1101755										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23610	CORREA DENTADA 8M LW 1480 (LD)	23610053	10494025										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23610	CORREA DENTADA 8M LW 1480 (LI)	23610053	10494025										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23630	AMORTIGUADOR 8,3/20X25	23630049	10424643										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23630	CORREA DENTADA 5M575	23630077	10313361										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23630	ENGRANAJE DE DESPLAZ. DE HILO (LD)	23630095	10568546										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23630	ENGRANAJE DE DESPLAZ. DE HILO (LI)	23630095	10568546										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	236	23630	VALVULA NEUMATICA M.KUPPLUNG	14030114	160877										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2410	TRANSPORTE DE RESIDUOS DE MANDO	24010001	10578325										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2410	MOTOR DE ENGRANAJES (LD)	24010026	10578296										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2410	MOTOR DE ENGRANAJES (LI)	24010026	10578296										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2410	ACOPLAMIENTO 20/45X80 (LD)	24010053	10551621										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2410	ACOPLAMIENTO 20/45X80 (LI)	24010053	10551621										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2420	BOQUILLA DE ASPIRACIÓN SUPERIOR (LD)	24020001	10453962										
RIETER	R-60	50409	40015936-00027	2011	BASTIDOR FINAL	BASTIDOR	240	2420	BOQUILLA DE ASPIRACIÓN SUPERIOR (LI)	24020001	10453962										
